loreal-paris.co.uk,198153,198153,3.1,0.16,1.9,Shopping,en
romsandroid.com,198163,198163,3.1,0.16,1.9,Shopping,en
littlebaby.com.sg,198165,198165,3.85,0.32,3.03,Shopping,en
themountain.com,198182,198182,2.3,0.33,5.2,Shopping,en
origami-shop.com,198183,198183,2.2,0.39,6.6,Shopping,en
pclinkshop.com,198203,198203,3.4,0.14,1.5,Shopping,en
vapelife.com,198224,198224,3.3,0.14,1.6,Shopping,en
thedump.com,198245,198245,2.6,0.25,3.6,Shopping,en
2040-parts.com,198253,198253,3.4,0.14,1.5,Shopping,en
buyqualityplr.com,198264,198264,2.7,0.21,2.8,Shopping,en
abdulwahed.com,198298,198298,2.7,0.22,3,Shopping,en
aerotrader.com,198308,198308,2.9,0.19,2.5,Shopping,en
fondriest.com,198310,198310,3.4,0.14,1.5,Shopping,en
coopertire.com,198330,198330,2.8,0.19,2.5,Shopping,en
simplycarbonfiber.com,198336,198336,2.7,0.22,3.1,Shopping,en
blue365deals.com,198357,198357,2.8,0.2,2.7,Shopping,en
smackafact.com,198373,198373,2.6,0.24,3.4,Shopping,en
thestampmaker.com,198396,198396,2.8,0.21,2.8,Shopping,en
motorcycle-usa.com,198398,198398,3.4,0.13,1.4,Shopping,en
urstyle.com,198420,198420,2.3,0.32,5,Shopping,en
tnvc.com,198429,198429,2.5,0.26,3.9,Shopping,en
constant.co,198445,198445,1.8,0.82,17,Shopping,en
armorlux.com,198457,198457,2.4,0.3,4.6,Shopping,en
midwestindustriesinc.com,198470,198470,2.3,0.32,5,Shopping,en
wedding.net,198481,198481,2.5,0.26,3.7,Shopping,en
logicsupply.com,198496,198496,3,0.17,2,Shopping,en
policeauctions.com,198501,198501,2.3,0.36,5.8,Shopping,en
stoneisland.co.uk,198514,198514,2.4,0.29,4.4,Shopping,en
sourpussclothing.com,198517,198517,2.3,0.36,5.8,Shopping,en
bullion-rates.com,198521,198521,3.1,0.16,1.9,Shopping,en
minejerseys.vip,198541,198541,2.3,0.32,5,Shopping,en
elouai.com,198544,198544,2.4,0.29,4.3,Shopping,en
aktiesport.nl,198547,198547,2.5,0.27,3.9,Shopping,en
digitaltv.sg,198568,198568,3.1,0.16,1.9,Shopping,en
ghostguns.com,198589,198589,2.5,0.28,4.2,Shopping,en
jdslabs.com,198598,198598,2.8,0.19,2.5,Shopping,en
lesliehindman.com,198615,198615,3.35,0.71,7.786,Shopping,en
jewellerymaker.com,198637,198637,2.1,0.43,7.5,Shopping,en
armchairempire.com,198674,198674,3.7,0.12,1.2,Shopping,en
popflexactive.com,198713,198713,2.5,0.25,3.7,Shopping,en
